no,title,category,note
26,Saç kesimi ne zaman yapılır,Kişisel bakım,Model bozulduğunda veya uçlar yıprandığında yapılabilir
27,Tırnak kesimi ne zaman yapılır,Kişisel bakım,Uzama ve bakım ihtiyacına göre düzenlenir
28,Sakal bakımı ne zaman yapılır,Kişisel bakım,Modelin düzgün kalması için düzenli yapılır
29,Cilt bakımı ne zaman yapılır,Kişisel bakım,Temiz cilt üzerinde planlı yapılır
30,Güneş kremi ne zaman sürülür,Kişisel bakım,Dışarı çıkmadan önce uygulanır
31,Parfüm ne zaman sıkılır,Kişisel bakım,Temiz kıyafet ve cilt üzerine az miktarda uygulanır
32,El kremi ne zaman sürülür,Kişisel bakım,Kuruluk hissedildiğinde veya yıkama sonrası sürülür
33,Yürüyüş ne zaman yapılır,Günlük yaşam,Günün uygun saatinde düzenli yapılabilir
34,Su ne zaman içilir,Günlük yaşam,Gün içine yayılarak düzenli içilir
35,Kahvaltı ne zaman yapılır,Günlük yaşam,Sabah düzenine göre yapılır
36,Akşam yemeği ne zaman yenir,Günlük yaşam,Günün planına göre çok geçe bırakmadan yenir
37,Meyve ne zaman yenir,Günlük yaşam,Öğün planına göre tüketilebilir
38,Yoğurt ne zaman yenir,Günlük yaşam,Ana öğün veya ara öğünde tercih edilebilir
39,Uyku düzeni ne zaman kurulur,Günlük yaşam,Düzenli saat alışkanlığıyla oluşur
40,Okul çantası ne zaman hazırlanır,Okul,Akşamdan hazırlamak sabahı kolaylaştırır
41,Ders tekrarı ne zaman yapılır,Okul,Konu işlendikten sonra kısa sürede yapılabilir
42,Sınav planı ne zaman yapılır,Okul,Son güne bırakmadan hazırlanır
43,Kitap özeti ne zaman çıkarılır,Okul,Okuma bittikten sonra çıkarılır
44,Defter ne zaman düzenlenir,Okul,Konu tamamlandıktan sonra düzenlenir
45,Ödev ne zaman yapılır,Okul,Günlük plan içinde erken yapılması kolaylık sağlar
46,Tatil planı ne zaman yapılır,Seyahat,Yoğun dönemlerden önce yapılır
47,Bilet ne zaman alınır,Seyahat,Tarih kesinleşince erken almak avantaj sağlar
48,Bavul ne zaman hazırlanır,Seyahat,Yola çıkmadan önceki gün hazırlanabilir
49,Pasaport ne zaman yenilenir,Seyahat,Süresi yaklaşmadan kontrol edilmelidir
50,Otelde giriş ne zaman yapılır,Seyahat,Rezervasyon saatine göre yapılır
