no,title,category,note
1,Yumurta dolaptan ne zaman çıkarılır,Yemek,Pişirmeden kısa süre önce oda ısısına alınabilir
2,Kek ne zaman fırından çıkarılır,Yemek,Kürdan testi temiz çıktığında çıkarılır
3,Ekmek ne zaman mayalanır,Yemek,Hamur hacmi belirgin artınca hazır olur
4,Kahve ne zaman içilir,Günlük yaşam,Uyku düzenine göre öğleden önce tercih edilir
5,Çay ne zaman demlenir,Günlük yaşam,Su kaynadıktan sonra dinlendirilerek demlenir
6,Fidan ne zaman dikilir,Bahçe,İlkbahar ve sonbahar uygun dönemlerdir
7,Çim ne zaman ekilir,Bahçe,Ilıman dönemlerde daha iyi sonuç verir
8,Domates ne zaman ekilir,Bahçe,Don riski geçtikten sonra ekilir
9,Biber ne zaman ekilir,Bahçe,Sıcaklık uygun hale gelince dikilir
10,Salatalık ne zaman ekilir,Bahçe,Ilık toprak döneminde ekilir
11,Patates ne zaman ekilir,Bahçe,Toprak ısısı uygun olunca ekilir
12,Soğan ne zaman ekilir,Bahçe,Mevsime göre sonbahar veya ilkbahar seçilir
13,Sarımsak ne zaman ekilir,Bahçe,Genelde sonbahar dikimi tercih edilir
14,Çilek ne zaman dikilir,Bahçe,Serin ve dengeli dönemlerde dikilir
15,Gül ne zaman budanır,Bahçe,Genelde kış sonu veya ilkbahar başı uygundur
16,Ağaç ne zaman budanır,Bahçe,Türe göre uyku dönemi tercih edilir
17,Orkide ne zaman sulanır,Bitki,Kök ve harç kuruluk durumuna göre sulanır
18,Kaktüs ne zaman sulanır,Bitki,Toprak tamamen kuruduğunda sulanır
19,Salon bitkisi ne zaman gübrelenir,Bitki,Büyüme döneminde daha uygundur
20,Balıklar ne zaman yemlenir,Akvaryum,Az ve düzenli öğünler tercih edilir
21,Akvaryum suyu ne zaman değiştirilir,Akvaryum,Düzenli kısmi değişim önerilir
22,Filtre ne zaman temizlenir,Akvaryum,Akış azaldığında ve bakım planına göre temizlenir
23,Toprak ne zaman değiştirilir,Bitki,Kökler saksıyı doldurduğunda değiştirilebilir
24,Saksı ne zaman büyütülür,Bitki,Kök gelişimi sıkıştığında büyütülür
25,Tohum ne zaman çimlenir,Bahçe,Türe ve sıcaklığa göre değişir
