no,title,category,note
76,Ramazan alışverişi ne zaman yapılır,Özel gün,İhtiyaç listesiyle önceden planlanabilir
77,Bayram hazırlığı ne zaman yapılır,Özel gün,Son güne bırakmadan parça parça yapılır
78,Kandil ne zaman takip edilir,Özel gün,Takvimden gün öncesi kontrol edilir
79,Okullar ne zaman açılır,Okul,Resmi takvime göre takip edilir
80,Karneler ne zaman alınır,Okul,Eğitim takvimindeki dönem sonunda alınır
81,Yaz tatili ne zaman başlar,Okul,Eğitim yılı bittikten sonra başlar
82,Kış lastiği ne zaman takılır,Araç,Hava ve tarih şartlarına göre planlanır
83,Kış hazırlığı ne zaman yapılır,Ev,Soğuklar başlamadan önce yapılır
84,Yazlıklar ne zaman kaldırılır,Ev,Havalar serinleyince düzenlenir
85,Kışlıklar ne zaman çıkarılır,Ev,Mevsim dönmeden hazırlanır
86,Halı ne zaman yıkanır,Ev,Hava kurutmaya uygunsa planlanır
87,Perde ne zaman yıkanır,Ev,Düzenli aralıklarla ve mevsim geçişlerinde yıkanabilir
88,Ev taşıma ne zaman planlanır,Ev,Tarih belli olur olmaz planlanır
89,Boya badana ne zaman yapılır,Ev,Havalandırmanın kolay olduğu dönem uygundur
90,Bahçe sulama ne zaman yapılır,Bahçe,Sabah erken veya akşam serinliği tercih edilir
91,Fide ne zaman şaşırtılır,Bahçe,Kök gelişimi uygun hale gelince yapılır
92,Hasat ne zaman yapılır,Bahçe,Ürünün olgunluk belirtilerine göre yapılır
93,Kompost ne zaman kullanılır,Bahçe,Olgunlaştığında toprağa karıştırılır
94,Balkon çiçekleri ne zaman dikilir,Bahçe,Don riski geçince dikilebilir
95,Çim biçme ne zaman yapılır,Bahçe,Çim uygun boya geldiğinde yapılır
96,Toprak havalandırma ne zaman yapılır,Bahçe,Mevsim geçişlerinde planlanabilir
97,Günlük plan ne zaman yapılır,Planlama,Sabah veya önceki akşam yapılabilir
98,Haftalık plan ne zaman yapılır,Planlama,Hafta başında daha verimli olur
99,Aylık ev listesi ne zaman hazırlanır,Planlama,Ay başında düzenli hazırlanabilir
100,Yıllık hedef ne zaman yazılır,Planlama,Yıl başında veya yeni dönem başlangıcında yazılır
